,id, nickname, score, useful_num, time, content
64,1219226120.0,  turbine,  30,  413,  2017-07-23 20:05:56,  作为主旋律影片为啥用《奇异恩典》配乐，画内镜头还是中国军人……
65,1226398386.0,  Sarcophagus,  10,  137,  2017-08-08 09:07:07,  加强同非洲国家团结合作，是中国外交政策重要基石，这一点不会因为中国自身发展和国际地位提升而变化。中国在对非合作中秉持正确义利观，注重授人以渔，帮助非方筑巢引凤，提升非洲国家自我发展能力，惠及非洲各国人民，真正实现互利共赢，共圆发展振兴之梦。——习近平主席
66,1219656382.0,  鼹鼠的土豆,  50,  764,  2017-07-24 18:36:57,  《战狼2》可以说用军舰坦克，撞开了国产电影重工业的大门。让观众了解到国产电影也可以像好莱坞大片一样，可以有自己的超级英雄。
67,1221476033.0,  刘小昭,  40,  648,  2017-07-28 23:08:35,  客观的说七分，虽然情节逻辑有各种经不起推敲的细节，但总体完成度很高，虽然反派有点无脑脸谱化，但配角形象还算丰满，尤其张瀚的富二代形象居然不招人讨厌。有笑点有泪点，是部用心的片子，瑕不掩瑜，值得鼓励。
68,1223427584.0,  大时代歌姬,  40,  311,  2017-08-02 01:37:14,  中国队长。PS：许多好莱坞大片情节跟狗屎一样，都能被接受。吴京只是稍微主角光环罢了。战2叙事逻辑可以吊打现阶段漫威剧本，编故事也比速8和变5敬业多了（比如在打赢大反派这一段戏，用活了道具）PPS：达康书记和东来局长，比心
69,1224689259.0,  亵渎电影,  30,  131,  2017-08-04 19:49:49,  骨子里越来越像《虎胆龙威》+《速度与激情》，一个套路的硬汉动作类型片，但卖点却是爱国情怀，它又不能彻底做成个人英雄主义的故事，因为要想算计到铁血观众，背后还是必须带着国家和民族的双重自豪感，战狼系列也靠这个精准的受众群定位赚到了钱和口碑，但也要因此付出遭遇官方阻力的代价。
70,1220709026.0,  梁慕橙,  40,  1069,  2017-07-27 08:45:06,  作为军旅题材给四星我觉得不过分，质感燃到爆炸
71,1220729230.0,  槑槑,  40,  872,  2017-07-27 10:03:31,  好燃啊！好看！表白吴京和达康书记！
72,1221978199.0,  寓目,  40,  492,  2017-07-30 00:17:06,  第一次因为一个影评被人追着骂……我怕了……我改评分好不好……
73,1220720919.0,  凌睿,  30,  383,  2017-07-27 09:34:04,  1.看看人家装逼装得多专业。2.由于全国发布高温警报，主角只好去非洲避暑了。3.Tundu：我不要去中国，中国太他妈热了，我会被晒黑的！4.张翰在本片饰演亦凡，整个太平洋都是他承包的鱼塘。5.达康书记、东来局长都是幌子，实际上反派是美队对冷锋的考验，下集他将加入复联一起打灭霸。
81,1221501753.0,  Seven Yu,  10,  511,  2017-07-28 23:56:37,  我就很好奇，是得多臭不要脸才能编出这样的剧情？？！！这是魔幻题材吗？简直每个镜头都想骂街！胡编乱造，自欺欺人，违背物理定律，违背自然法则，每个镜头都让我无比尴尬！最让我尴尬的是，我从来没见过哪面国旗是可以把一条胳膊塞进去的！简直牛逼到极点！把自己当全世界的救世主了！
82,1222608340.0,  傀。,  40,  604,  2017-07-31 11:03:10,  说剧情有bug，我承认。但你看的燃不燃？high不high？动作打得过瘾不过瘾？看得心潮澎湃没有？激动不？国产商业动作片能拍到这个水准，已经值得表扬了。不给鼓励还在那挑刺？呵呵。
83,1205432745.0,  叶子的眼睛,  40,  1005,  2017-07-27 08:28:29,  意料之中的精彩，意料之外的惊喜。属于我们的英雄，展现狼性的军魂。
84,1223732251.0,  LOOK,  20,  323,  2017-08-02 20:11:22,  按好莱坞的标准，流畅度和节奏都有问题，高潮位靠的还是赤裸裸的爱国鸡血冲上去的
85,1224289654.0,  陆支羽,  20,  244,  2017-08-03 22:59:33,  2.5。铮铮铁骨，热泪盈眶；然而我看睡着了。
86,1225164950.0,  shininglove,  30,  60,  2017-08-05 19:30:58,  陕西金秀贤主体思想勋章获得者，将海军崛起、新非洲政策、村民强拆等话题包裹成一张满分公务员申论卷，第一部一拳一脚边境硬拼，第二部是动作明星肉身神话化，穿民族主义披风扮演救世主，只用了两年。
87,1221940347.0,  游牧人·芳汀,  40,  340,  2017-07-29 23:09:52,  #电影院#一个人就买了四张票（不打折）请全家看，心疼我的小钱钱≥﹏≤还好家长们的反应是好的，把吴京猛夸了一通，中国式的动作大片并不逊色好莱坞，只要他们满意我也就心满意足了。我珍惜一家人和和气气的团聚时刻。卢靖姗真漂亮，干练明朗的健康美。吴京好好拍，第三部继续约啊
88,1222094591.0,  托尼·王大拿,  30,  216,  2017-07-30 10:52:27,  跟第一部比确实是不知道高到哪里去了，本质上还是学资本主义毛皮、吹社会主义牛逼，连彩蛋都如此。
89,1224242223.0,  小岩井,  40,  172,  2017-08-03 21:41:46,  扯那么多有的没的，全程看得很带感，作为一部动作电影这样还不够吗？
90,1220899188.0,  乌鸦火堂,  40,  505,  2017-07-27 17:38:01,  三星半，与首部一脉相承，但脱离了军旅题材的限制，变成了孤胆英雄动作片，与第一滴血系列是一样的，故事不新鲜，但场面更大，动作部分在技巧/火爆之间切换，整体非常燃，片长有些长。能看出拍摄时受限颇多，有的镜头一看就是硬性指标，但这样的片对拓展华语类型片有好处，还是多多益善
91,1220907193.0,  猪美丽,  20,  448,  2017-07-27 18:00:54,  3d扣分
